id,timestamp,value,created_at,updated_at,token,metric
23,2017-01-22,1463.8532541248749,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3898,2017-01-22,2.68479668158888e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
24,2017-01-23,1475.2831641790196,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3899,2017-01-23,2.89133657197942e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
25,2017-01-24,1486.575234364537,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3900,2017-01-24,2.93476280134536e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
26,2017-01-25,1496.9882717786304,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3901,2017-01-25,3.00596906566017e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
27,2017-01-26,1505.4496905582362,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3902,2017-01-26,3.37243401644081e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
28,2017-01-27,1518.0134062787695,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3903,2017-01-27,2.92954416769873e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
29,2017-01-28,1532.1430846108635,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3904,2017-01-28,3.23954540738873e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
30,2017-01-29,1547.0675434288323,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3905,2017-01-29,2.82793125460182e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
31,2017-01-30,1559.4429935849053,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3906,2017-01-30,2.80984008729779e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
32,2017-01-31,1571.5425300703644,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3907,2017-01-31,3.75798164417627e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
33,2017-02-01,1585.8543057271377,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3908,2017-02-01,3.05998042111982e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
id,timestamp,value,created_at,updated_at,token,metric
34,2017-02-02,1599.3311009320043,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3909,2017-02-02,2.90509784303501e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5925,2017-02-02,713302.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11970,2017-02-02,1007.1874827631949,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
35,2017-02-03,1616.0704772908484,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3910,2017-02-03,2.8061426371661e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5926,2017-02-03,655245.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11971,2017-02-03,1017.59993205295,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
